STATISTIC,Statistic Label,YEAR,Year,FUNCTION,Type of function,BEDTYPE,Bed type,UNIT,VALUE,FLAG,Flag
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,179,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,179,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,177,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,160,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,146,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,156,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,REHAB,Beds for rehabilitative care function,SOM,Somatic care type beds,Number,166,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
