,,,,,,,,,,,,,,,
Name,Address,Opening Hours,Day,,Source: ,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Macroom,"Southdoc Macroom, Fair Green Plaza, Macroom, Cork, P12 ET82","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Mallow,"Mallow Primary Healthcare Centre, Mallow Business Park, Goulds Hill, Mallow, Cork, P51 Y8EC","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Midleton,"Southdoc Midleton, Eilmaur, Oatencake, Cork Road, Midleton, Cork, P25 D524","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Skibbereen,"West Cork LHO Offices Primary Care Centre, Coolnagurrane, Skibbereen, Cork, P81 YV62","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Tralee,"Southdoc Tralee, Limetree House, Killeen, Tralee, Kerry, V92 C927","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Southdoc Youghal,"Southdoc Youghal, Youghal Health Centre, Millennium Court, Youghal, Cork, P36 P840","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
TLC Doc Tallaght,"TLC Doc Tallaght, Carbury House, Tallaght, Dublin, D24 FKT7","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc Achill,"Achill Health Centre, Achill Sound, Oileán Acla, Achill Island, Mayo, F28 E142","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
Westdoc Ballina,"Westdoc Ballina, St Joseph's District Hospital, Mercy Road, Ballina, Mayo, F26 PP92","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc Ballinrobe,"Ballinrobe Primary Care Centre, Kilmaine Road, Ballinrobe, Mayo, F31 RW66","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc Belmullet,"Westdoc Belmullet, Tallagh, Belmullet, Mayo, F26 K1H9","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc Castlebar,"Castlebar Primary Care Centre, Moneenbradagh, Moneen Road, Castlebar, Mayo, F23 XV04","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc Craughwell,"Craughwell Health Centre, Killora, Craughwell, Galway, H91 WF30",6pm-12am,Tuesday,,,,,,,,,,,,
,,"12am-9am, 6pm-12am ",Wednesday,,,,,,,,,,,,
,,12am-9am ,Thursday ,,,,,,,,,,,,
Westdooc East Galway,"Eyrecourt Health Centre, Market Street, The Squre, Eurecourt, Ballinasloe, Galway, H53 FX94","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc Galway,"Westdoc Galway, Unit 18a, Liosban Business Park, Tuam Road, Galway, H91 FW13","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc Glenamaddy,"Glenamaddy Health Centre, Kilkerrin Road, Glenamaddy, Galway, F45 E449","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc Knock,"Westdoc Knock, Knock Medical Centre, Drum, Knock, Mayo, F12 E166",6pm-12am,Tuesday,,,,,,,,,,,,
,,"12am-9am, 6pm-12am ",Wednesday,,,,,,,,,,,,
,,12am-9am ,Thursday ,,,,,,,,,,,,
Westdoc North Connemara,"Clifden Health Centre, Galway Road, Clifden, Galway, H71 XP84","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc Roscommon,"Roscommon Primary Care Centre, Golf Links Road, Roscommon Town, Roscommon, F42 HY97","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc South Connemara,"Kilkerrin Health Centre, Kilkerrin, Connemara, Galway, H91 C803","12am-8am, 6pm-12am",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc Tuam,"Tuam Primary Care Centre, Sean Purcell Road, Tuam, Galway, H54 DT61","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Westdoc Westport,"Westdoc Westport, Crannóg House, Quay Road, Westport, Mayo, F28 TX39","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
